20140901,335354461,278874504
20140902,325468296,287433044
20140903,334148136,251824644
20140904,305637897,219131695
20140905,231465037,139914144
20140906,67866091,-23728066
20140907,122206622,56446900
20140908,140499295,98482167
20140909,304712466,233450841
20140910,341915831,203756067
20140911,332492349,201647409
20140912,221017111,125666103
20140913,159736780,52273265
20140914,294246694,181661733
20140915,344285157,275105168
20140916,379461505,293963122
20140917,363570336,229005712
20140918,385657699,222263590
20140919,321053307,178618652
20140920,224264762,128507168
20140921,325242490,198976963
20140922,307694649,249810731
20140923,365764179,247848836
20140924,333564688,194074226
20140925,389665673,217017919
20140926,289471173,184459548
20140927,193619572,117507233
20140928,290125530,167595048
20140929,329949474,232596530
20140930,395858330,257220628
