20140901,339693192,342274420
20140902,467477921,337553780
20140903,557484489,404883478
20140904,429925475,446297237
20140905,296149612,296370058
20140906,224119426,115916844
20140907,148990811,213904466
20140908,269777451,294306038
20140909,281123344,362823009
20140910,211912813,379122997
20140911,198092047,341820286
20140912,184329373,283505190
20140913,124712220,257939221
20140914,177194053,376810656
20140915,269847324,508584778
20140916,293396666,554579534
20140917,360873487,487979723
20140918,365011114,491361737
20140919,263464361,487898403
20140920,158053319,477941131
20140921,228125226,445771264
20140922,402731548,463669437
20140923,374662409,482946211
20140924,327623818,540164329
20140925,240196468,558798253
20140926,209398283,478741110
20140927,230459887,434619999
20140928,211959104,473170603
20140929,235322744,524367470
20140930,160361094,585290688
